id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
5462,13641176722987,0.08885622,0.059603333,-0.13176632,0.026489258,-0.08152771,0.020065308,245.8718,-8.102044,45.074455
5463,13641180140956,-0.050017834,-0.009332776,0.13970327,0.017623901,-0.09945679,0.018722534,245.86073,-8.104251,45.09877
5464,13641185176356,-0.044760704,-0.119947374,-0.07639694,0.006591797,-0.06236267,0.016464233,245.84512,-8.097008,45.11991
5465,13641190211757,0.023614407,-0.20547223,-0.035288334,-0.013412476,0.0013275146,0.016098022,245.81493,-8.076088,45.126987
5466,13641195247157,-0.058046818,-0.1738413,0.010818005,-0.04020691,0.044799805,0.013824463,245.78125,-8.04817,45.11538
5467,13641200282557,-0.10068035,-0.15370297,0.20459032,-0.05517578,0.055419922,0.013671875,245.74103,-8.014028,45.090202
5468,13641205317958,-0.11505365,-0.081641614,0.18706751,-0.056243896,0.03605652,0.014755249,245.71082,-7.9843698,45.068417
5469,13641210353358,-0.05707693,0.025467813,0.22727156,-0.057891846,0.0061950684,0.015029907,245.6951,-7.961038,45.054962
5470,13641215388759,0.008967876,0.10788196,0.21614027,-0.06510925,-0.020431519,0.015029907,245.69199,-7.9465284,45.051594
5471,13641220424159,0.021951675,0.1758098,0.08996916,-0.069869995,-0.03465271,0.014221191,245.70724,-7.935651,45.05786
5472,13641225459559,0.053634644,0.044689536,0.24350119,-0.064071655,-0.033111572,0.009048462,245.70111,-7.915698,45.061115
5473,13641230494960,0.08534956,-0.062378764,0.39082718,-0.047943115,-0.023544312,0.00340271,245.6773,-7.891938,45.05824
5474,13641235530360,0.0037560463,-0.17178935,0.61232185,-0.02281189,-0.017807007,-3.2043457E-4,245.6214,-7.865519,45.042797
5475,13641240565761,-0.03940916,-0.09022713,0.30810452,0.009643555,-0.01928711,-0.0033569336,245.59708,-7.857932,45.03642
5476,13641245601161,-0.039949417,0.07919741,0.009164333,0.050231934,-0.034423828,-0.0033416748,245.60869,-7.8757553,45.04177
5477,13641250636561,-0.055369854,0.17288727,-0.14476633,0.08126831,-0.05570984,-0.001373291,245.63965,-7.9126697,45.057827
5478,13641255671962,-0.014612198,0.088039696,-0.041759014,0.09867859,-0.07194519,-0.002746582,245.67323,-7.949523,45.07733
5479,13641260707362,-0.021607399,0.015406728,0.027593136,0.10133362,-0.07369995,-0.0048980713,245.67923,-7.983354,45.096226
5480,13641265742763,0.023705006,-0.07062781,-0.059768677,0.092285156,-0.058151245,-0.004348755,245.67894,-8.010185,45.11756
5481,13641270778163,-0.0416708,-0.04480803,-0.13526917,0.07797241,-0.03340149,-0.0050354004,245.68275,-8.037187,45.13362
5482,13641275813563,-0.126822,-0.081985414,-0.19705343,0.060043335,-0.011184692,-0.005264282,245.71136,-8.052697,45.140995
5483,13641280848964,-0.09514189,-0.06407642,-0.32022762,0.037979126,0.001876831,-0.0033874512,245.71689,-8.065948,45.14987
5484,13641285884364,-0.09641838,-0.06906307,-0.3649602,0.013534546,0.012756348,-3.0517578E-4,245.72205,-8.071341,45.15725
5485,13641290919765,0.0016789436,-0.06827164,-0.37427902,-0.014160156,0.017868042,0.005783081,245.72798,-8.067715,45.166584
5486,13641295955165,-0.052086353,-0.05463928,-0.36481428,-0.0413208,0.017364502,0.009384155,245.77505,-8.055778,45.173325
5487,13641300990565,-0.04646778,-0.07305986,-0.16429949,-0.06552124,0.012771606,0.0105896,245.76642,-8.030861,45.173862
5488,13641306025966,-0.022169113,-0.01541239,-0.15891123,-0.08604431,0.011932373,0.013671875,245.76582,-8.006901,45.17616
5489,13641311061366,0.011538029,0.033053637,-0.12551498,-0.09564209,0.020828247,0.015945435,245.76912,-7.979369,45.17676
5490,13641316096766,0.03351593,0.06959301,-0.18249226,-0.09928894,0.033569336,0.019119263,245.80441,-7.9521365,45.176952
5491,13641321406825,0.065170765,0.09882301,-0.0647459,-0.096450806,0.046463013,0.019302368,245.81183,-7.9246483,45.170303
5492,13641326167567,0.019025803,0.103972375,0.056408882,-0.08912659,0.056365967,0.01727295,245.8131,-7.8979287,45.15449
5493,13641331202968,0.06343174,0.04994136,0.2067914,-0.07545471,0.06440735,0.017166138,245.80087,-7.8664002,45.131145
5494,13641336238368,0.036412716,-0.0070911646,0.31146526,-0.050979614,0.062210083,0.018218994,245.76532,-7.839631,45.10544
5495,13641341273768,0.04500532,0.04196173,0.3020711,-0.022033691,0.053741455,0.018234253,245.74791,-7.8219004,45.080345
